seed,aligner_size,zero_donor_gain,acc_t1,acc_t3,bl_gain,c2_raw_gain
0,affine,0.020000040531158447,0.7099999785423279,0.7300000190734863,0.21500003337860107,-0.13999998569488525
0,MLP-small,0.0,0.7099999785423279,0.7099999785423279,0.21500003337860107,-0.13999998569488525
0,MLP-medium,0.020000040531158447,0.7099999785423279,0.7300000190734863,0.21500003337860107,-0.13999998569488525
0,MLP-large,-0.004999995231628418,0.7099999785423279,0.7049999833106995,0.21500003337860107,-0.13999998569488525
1,affine,0.02499997615814209,0.7300000190734863,0.7549999952316284,0.1850000023841858,0.08499997854232788
1,MLP-small,0.009999990463256836,0.7300000190734863,0.7400000095367432,0.1850000023841858,0.08499997854232788
1,MLP-medium,0.034999966621398926,0.7300000190734863,0.7649999856948853,0.1850000023841858,0.08499997854232788
1,MLP-large,0.014999985694885254,0.7300000190734863,0.7450000047683716,0.1850000023841858,0.08499997854232788
2,affine,-0.07500004768371582,0.7200000286102295,0.6449999809265137,0.18499994277954102,-0.050000011920928955
2,MLP-small,-0.04000002145767212,0.7200000286102295,0.6800000071525574,0.18499994277954102,-0.050000011920928955
2,MLP-medium,-0.05500000715255737,0.7200000286102295,0.6650000214576721,0.18499994277954102,-0.050000011920928955
2,MLP-large,-0.05500000715255737,0.7200000286102295,0.6650000214576721,0.18499994277954102,-0.050000011920928955
3,affine,-0.034999966621398926,0.7149999737739563,0.6800000071525574,0.1950000524520874,-0.02499997615814209
3,MLP-small,-0.13499999046325684,0.7149999737739563,0.5799999833106995,0.1950000524520874,-0.02499997615814209
3,MLP-medium,-0.10999995470046997,0.7149999737739563,0.6050000190734863,0.1950000524520874,-0.02499997615814209
3,MLP-large,-0.14499998092651367,0.7149999737739563,0.5699999928474426,0.1950000524520874,-0.02499997615814209
4,affine,-0.125,0.7200000286102295,0.5950000286102295,0.22499996423721313,-0.32500001788139343
4,MLP-small,-0.06500005722045898,0.7200000286102295,0.6549999713897705,0.22499996423721313,-0.32500001788139343
4,MLP-medium,-0.0700000524520874,0.7200000286102295,0.6499999761581421,0.22499996423721313,-0.32500001788139343
4,MLP-large,-0.1600000262260437,0.7200000286102295,0.5600000023841858,0.22499996423721313,-0.32500001788139343
5,affine,-0.125,0.675000011920929,0.550000011920929,0.19999998807907104,-0.15000003576278687
5,MLP-small,-0.10000002384185791,0.675000011920929,0.574999988079071,0.19999998807907104,-0.15000003576278687
5,MLP-medium,-0.29500001668930054,0.675000011920929,0.3799999952316284,0.19999998807907104,-0.15000003576278687
5,MLP-large,-0.07999998331069946,0.675000011920929,0.5950000286102295,0.19999998807907104,-0.15000003576278687
6,affine,-0.014999985694885254,0.5049999952316284,0.49000000953674316,0.07499998807907104,0.04000002145767212
6,MLP-small,-0.0949999988079071,0.5049999952316284,0.4099999964237213,0.07499998807907104,0.04000002145767212
6,MLP-medium,-0.04499998688697815,0.5049999952316284,0.46000000834465027,0.07499998807907104,0.04000002145767212
6,MLP-large,-0.10499998927116394,0.5049999952316284,0.4000000059604645,0.07499998807907104,0.04000002145767212
7,affine,-0.15999996662139893,0.824999988079071,0.6650000214576721,0.125,-0.050000011920928955
7,MLP-small,-0.050000011920928955,0.824999988079071,0.7749999761581421,0.125,-0.050000011920928955
7,MLP-medium,-0.19999998807907104,0.824999988079071,0.625,0.125,-0.050000011920928955
7,MLP-large,-0.10499995946884155,0.824999988079071,0.7200000286102295,0.125,-0.050000011920928955
8,affine,0.04000002145767212,0.824999988079071,0.8650000095367432,0.14500004053115845,-0.014999985694885254
8,MLP-small,-0.06999999284744263,0.824999988079071,0.7549999952316284,0.14500004053115845,-0.014999985694885254
8,MLP-medium,-0.06499999761581421,0.824999988079071,0.7599999904632568,0.14500004053115845,-0.014999985694885254
8,MLP-large,-0.06000000238418579,0.824999988079071,0.7649999856948853,0.14500004053115845,-0.014999985694885254
9,affine,0.0350000262260437,0.6399999856948853,0.675000011920929,0.27000004053115845,-0.17999997735023499
9,MLP-small,-0.029999971389770508,0.6399999856948853,0.6100000143051147,0.27000004053115845,-0.17999997735023499
9,MLP-medium,0.004999995231628418,0.6399999856948853,0.6449999809265137,0.27000004053115845,-0.17999997735023499
9,MLP-large,0.030000030994415283,0.6399999856948853,0.6700000166893005,0.27000004053115845,-0.17999997735023499
10,affine,-0.1549999713897705,0.7649999856948853,0.6100000143051147,0.19499999284744263,-0.050000011920928955
10,MLP-small,-0.19499999284744263,0.7649999856948853,0.5699999928474426,0.19499999284744263,-0.050000011920928955
10,MLP-medium,-0.16499996185302734,0.7649999856948853,0.6000000238418579,0.19499999284744263,-0.050000011920928955
10,MLP-large,-0.14499998092651367,0.7649999856948853,0.6200000047683716,0.19499999284744263,-0.050000011920928955
11,affine,-0.20499998331069946,0.800000011920929,0.5950000286102295,0.1499999761581421,-0.3400000035762787
11,MLP-small,-0.1899999976158142,0.800000011920929,0.6100000143051147,0.1499999761581421,-0.3400000035762787
11,MLP-medium,-0.3100000023841858,0.800000011920929,0.49000000953674316,0.1499999761581421,-0.3400000035762787
11,MLP-large,-0.020000040531158447,0.800000011920929,0.7799999713897705,0.1499999761581421,-0.3400000035762787
12,affine,0.08499997854232788,0.6150000095367432,0.699999988079071,0.21999996900558472,0.050000011920928955
12,MLP-small,0.08499997854232788,0.6150000095367432,0.699999988079071,0.21999996900558472,0.050000011920928955
12,MLP-medium,0.11500000953674316,0.6150000095367432,0.7300000190734863,0.21999996900558472,0.050000011920928955
12,MLP-large,0.08499997854232788,0.6150000095367432,0.699999988079071,0.21999996900558472,0.050000011920928955
13,affine,0.01500004529953003,0.7749999761581421,0.7900000214576721,0.15000003576278687,0.0
13,MLP-small,-0.004999995231628418,0.7749999761581421,0.7699999809265137,0.15000003576278687,0.0
13,MLP-medium,-0.014999985694885254,0.7749999761581421,0.7599999904632568,0.15000003576278687,0.0
13,MLP-large,-0.10999995470046997,0.7749999761581421,0.6650000214576721,0.15000003576278687,0.0
14,affine,-0.07999998331069946,0.7099999785423279,0.6299999952316284,0.2250000238418579,0.025000035762786865
14,MLP-small,0.010000050067901611,0.7099999785423279,0.7200000286102295,0.2250000238418579,0.025000035762786865
14,MLP-medium,0.04000002145767212,0.7099999785423279,0.75,0.2250000238418579,0.025000035762786865
14,MLP-large,0.05500000715255737,0.7099999785423279,0.7649999856948853,0.2250000238418579,0.025000035762786865
15,affine,-0.06499999761581421,0.7250000238418579,0.6600000262260437,0.07999998331069946,-0.06499999761581421
15,MLP-small,-0.11500000953674316,0.7250000238418579,0.6100000143051147,0.07999998331069946,-0.06499999761581421
15,MLP-medium,-0.1350000500679016,0.7250000238418579,0.5899999737739563,0.07999998331069946,-0.06499999761581421
15,MLP-large,-0.1600000262260437,0.7250000238418579,0.5649999976158142,0.07999998331069946,-0.06499999761581421
16,affine,-0.29999998211860657,0.7799999713897705,0.47999998927116394,0.1350000500679016,0.0700000524520874
16,MLP-small,-0.29499995708465576,0.7799999713897705,0.48500001430511475,0.1350000500679016,0.0700000524520874
16,MLP-medium,-0.39499998092651367,0.7799999713897705,0.38499999046325684,0.1350000500679016,0.0700000524520874
16,MLP-large,-0.4949999749660492,0.7799999713897705,0.2849999964237213,0.1350000500679016,0.0700000524520874
17,affine,0.0949999988079071,0.39500001072883606,0.49000000953674316,0.31999996304512024,-0.030000001192092896
17,MLP-small,0.18999996781349182,0.39500001072883606,0.5849999785423279,0.31999996304512024,-0.030000001192092896
17,MLP-medium,0.2150000035762787,0.39500001072883606,0.6100000143051147,0.31999996304512024,-0.030000001192092896
17,MLP-large,-0.04000002145767212,0.39500001072883606,0.35499998927116394,0.31999996304512024,-0.030000001192092896
18,affine,-0.05500000715255737,0.7300000190734863,0.675000011920929,0.1499999761581421,0.009999990463256836
18,MLP-small,-0.009999990463256836,0.7300000190734863,0.7200000286102295,0.1499999761581421,0.009999990463256836
18,MLP-medium,0.029999971389770508,0.7300000190734863,0.7599999904632568,0.1499999761581421,0.009999990463256836
18,MLP-large,0.0,0.7300000190734863,0.7300000190734863,0.1499999761581421,0.009999990463256836
19,affine,-0.06499999761581421,0.7400000095367432,0.675000011920929,0.22499996423721313,0.019999980926513672
19,MLP-small,-0.09500002861022949,0.7400000095367432,0.6449999809265137,0.22499996423721313,0.019999980926513672
19,MLP-medium,-0.15500003099441528,0.7400000095367432,0.5849999785423279,0.22499996423721313,0.019999980926513672
19,MLP-large,0.029999971389770508,0.7400000095367432,0.7699999809265137,0.22499996423721313,0.019999980926513672
