kind,seed,epochs,gain
vn,0,500,0.14
vn,0,1000,0.15499999999999992
vn,0,1500,0.17999999999999994
vn,0,2000,0.18499999999999994
vn,0,3000,0.17999999999999994
vn,0,4000,0.17999999999999994
vn,0,5000,0.17499999999999993
vn,1,500,0.135
vn,1,1000,0.15500000000000003
vn,1,1500,0.135
vn,1,2000,0.14
vn,1,3000,0.11499999999999999
vn,1,4000,0.09500000000000008
vn,1,5000,0.09500000000000008
vn,2,500,0.235
vn,2,1000,0.22999999999999998
vn,2,1500,0.15999999999999992
vn,2,2000,0.15500000000000003
vn,2,3000,0.125
vn,2,4000,0.11499999999999999
vn,2,5000,0.10499999999999998
vn,3,500,0.07999999999999996
vn,3,1000,0.17000000000000004
vn,3,1500,0.14
vn,3,2000,0.15499999999999992
vn,3,3000,0.16999999999999993
vn,3,4000,0.17499999999999993
vn,3,5000,0.18499999999999994
vn,4,500,0.10499999999999998
vn,4,1000,0.17499999999999993
vn,4,1500,0.16499999999999992
vn,4,2000,0.17999999999999994
vn,4,3000,0.17499999999999993
vn,4,4000,0.17499999999999993
vn,4,5000,0.18499999999999994
vn,5,500,0.07000000000000006
vn,5,1000,0.2899999999999999
vn,5,1500,0.25
vn,5,2000,0.21999999999999997
vn,5,3000,0.22999999999999998
vn,5,4000,0.20499999999999996
vn,5,5000,0.19499999999999995
vn,6,500,0.050000000000000044
vn,6,1000,0.29500000000000004
vn,6,1500,0.3500000000000001
vn,6,2000,0.33000000000000007
vn,6,3000,0.30500000000000005
vn,6,4000,0.30000000000000004
vn,6,5000,0.29500000000000004
vn,7,500,-0.010000000000000009
vn,7,1000,0.09500000000000008
vn,7,1500,0.10499999999999998
vn,7,2000,0.10999999999999999
vn,7,3000,0.12
vn,7,4000,0.11499999999999999
vn,7,5000,0.10999999999999999
vn,8,500,0.10000000000000009
vn,8,1000,0.2250000000000001
vn,8,1500,0.20499999999999996
vn,8,2000,0.18999999999999995
vn,8,3000,0.17499999999999993
vn,8,4000,0.16499999999999992
vn,8,5000,0.18499999999999994
vn,9,500,0.08999999999999997
vn,9,1000,0.19999999999999996
vn,9,1500,0.17999999999999994
vn,9,2000,0.16999999999999993
vn,9,3000,0.16000000000000003
vn,9,4000,0.15500000000000003
vn,9,5000,0.14500000000000002
vn,10,500,-0.010000000000000009
vn,10,1000,0.15000000000000002
vn,10,1500,0.20499999999999996
vn,10,2000,0.22999999999999998
vn,10,3000,0.20000000000000007
vn,10,4000,0.20000000000000007
vn,10,5000,0.20500000000000007
vn,11,500,0.040000000000000036
vn,11,1000,0.11499999999999999
vn,11,1500,0.16000000000000003
vn,11,2000,0.14500000000000002
vn,11,3000,0.14500000000000002
vn,11,4000,0.14
vn,11,5000,0.14
vn,12,500,0.06000000000000005
vn,12,1000,0.20000000000000007
vn,12,1500,0.21499999999999997
vn,12,2000,0.22999999999999998
vn,12,3000,0.22999999999999998
vn,12,4000,0.22999999999999998
vn,12,5000,0.22499999999999998
vn,13,500,-0.04999999999999993
vn,13,1000,0.17500000000000004
vn,13,1500,0.17999999999999994
vn,13,2000,0.15500000000000003
vn,13,3000,0.125
vn,13,4000,0.09999999999999998
vn,13,5000,0.10499999999999998
vn,14,500,0.285
vn,14,1000,0.275
vn,14,1500,0.21499999999999997
vn,14,2000,0.22999999999999998
vn,14,3000,0.30999999999999994
vn,14,4000,0.30999999999999994
vn,14,5000,0.29999999999999993
vn,15,500,0.07
vn,15,1000,0.21000000000000008
vn,15,1500,0.17500000000000004
vn,15,2000,0.1449999999999999
vn,15,3000,0.135
vn,15,4000,0.13
vn,15,5000,0.13
vn,16,500,0.10499999999999998
vn,16,1000,0.1449999999999999
vn,16,1500,0.13
vn,16,2000,0.12
vn,16,3000,0.14
vn,16,4000,0.14
vn,16,5000,0.15000000000000002
vn,17,500,-0.030000000000000027
vn,17,1000,0.1349999999999999
vn,17,1500,0.14
vn,17,2000,0.15000000000000002
vn,17,3000,0.12
vn,17,4000,0.125
vn,17,5000,0.12
vn,18,500,0.05999999999999994
vn,18,1000,0.17500000000000004
vn,18,1500,0.15999999999999992
vn,18,2000,0.16499999999999992
vn,18,3000,0.19499999999999995
vn,18,4000,0.19999999999999996
vn,18,5000,0.18499999999999994
vn,19,500,0.18499999999999994
vn,19,1000,0.20500000000000007
vn,19,1500,0.20499999999999996
vn,19,2000,0.20999999999999996
vn,19,3000,0.18999999999999995
vn,19,4000,0.18999999999999995
vn,19,5000,0.17999999999999994
static,0,500,0.05500000000000005
static,0,1000,0.019999999999999907
static,0,1500,0.015000000000000013
static,0,2000,-0.0050000000000000044
static,0,3000,0.010000000000000009
static,0,4000,0.0050000000000000044
static,0,5000,-0.0050000000000000044
static,1,500,0.025000000000000022
static,1,1000,0.04499999999999993
static,1,1500,0.050000000000000044
static,1,2000,0.03500000000000003
static,1,3000,0.040000000000000036
static,1,4000,0.040000000000000036
static,1,5000,0.010000000000000009
static,2,500,0.06000000000000005
static,2,1000,0.17000000000000004
static,2,1500,0.135
static,2,2000,0.125
static,2,3000,0.08500000000000008
static,2,4000,0.08000000000000007
static,2,5000,0.07500000000000007
static,3,500,0.05500000000000005
static,3,1000,0.040000000000000036
static,3,1500,0.010000000000000009
static,3,2000,-0.009999999999999898
static,3,3000,0.02499999999999991
static,3,4000,0.04499999999999993
static,3,5000,0.039999999999999925
static,4,500,0.030000000000000027
static,4,1000,0.06499999999999995
static,4,1500,0.08999999999999997
static,4,2000,0.08999999999999997
static,4,3000,0.05499999999999994
static,4,4000,0.029999999999999916
static,4,5000,0.029999999999999916
static,5,500,0.030000000000000027
static,5,1000,0.06500000000000006
static,5,1500,0.06000000000000005
static,5,2000,0.07499999999999996
static,5,3000,0.06999999999999995
static,5,4000,0.06999999999999995
static,5,5000,0.06999999999999995
static,6,500,-0.025000000000000022
static,6,1000,-0.06500000000000006
static,6,1500,0.0
static,6,2000,-0.010000000000000009
static,6,3000,0.010000000000000009
static,6,4000,0.019999999999999907
static,6,5000,0.019999999999999907
static,7,500,-0.029999999999999916
static,7,1000,0.0050000000000000044
static,7,1500,0.0
static,7,2000,0.0050000000000000044
static,7,3000,-0.015000000000000013
static,7,4000,-0.0050000000000000044
static,7,5000,0.025000000000000022
static,8,500,0.05500000000000005
static,8,1000,0.050000000000000044
static,8,1500,0.10999999999999999
static,8,2000,0.10999999999999999
static,8,3000,0.09999999999999998
static,8,4000,0.06999999999999995
static,8,5000,0.06499999999999995
static,9,500,0.015000000000000013
static,9,1000,0.03499999999999992
static,9,1500,0.05999999999999994
static,9,2000,0.020000000000000018
static,9,3000,-0.020000000000000018
static,9,4000,-0.014999999999999902
static,9,5000,0.0
static,10,500,0.04999999999999993
static,10,1000,0.040000000000000036
static,10,1500,0.06500000000000006
static,10,2000,0.06999999999999995
static,10,3000,0.09499999999999997
static,10,4000,0.10999999999999999
static,10,5000,0.08999999999999997
static,11,500,0.050000000000000044
static,11,1000,-0.0050000000000000044
static,11,1500,0.015000000000000013
static,11,2000,0.0
static,11,3000,0.030000000000000027
static,11,4000,0.030000000000000027
static,11,5000,0.030000000000000027
static,12,500,0.05999999999999994
static,12,1000,0.07500000000000007
static,12,1500,0.09999999999999998
static,12,2000,0.10999999999999999
static,12,3000,0.06499999999999995
static,12,4000,0.05499999999999994
static,12,5000,0.04999999999999993
static,13,500,-0.009999999999999898
static,13,1000,-0.04999999999999993
static,13,1500,-0.020000000000000018
static,13,2000,0.025000000000000022
static,13,3000,0.004999999999999893
static,13,4000,0.009999999999999898
static,13,5000,-0.0050000000000000044
static,14,500,0.03499999999999992
static,14,1000,0.010000000000000009
static,14,1500,0.06499999999999995
static,14,2000,0.12
static,14,3000,0.14500000000000002
static,14,4000,0.16000000000000003
static,14,5000,0.16000000000000003
static,15,500,0.04999999999999999
static,15,1000,0.05999999999999994
static,15,1500,0.020000000000000018
static,15,2000,0.010000000000000009
static,15,3000,-0.009999999999999898
static,15,4000,-0.015000000000000013
static,15,5000,0.0
static,16,500,0.06000000000000005
static,16,1000,0.07499999999999996
static,16,1500,0.06999999999999995
static,16,2000,0.06000000000000005
static,16,3000,0.025000000000000022
static,16,4000,0.0050000000000000044
static,16,5000,0.0
static,17,500,0.040000000000000036
static,17,1000,0.08500000000000008
static,17,1500,0.06499999999999995
static,17,2000,0.06999999999999995
static,17,3000,0.11499999999999999
static,17,4000,0.10999999999999999
static,17,5000,0.09999999999999998
static,18,500,0.03500000000000003
static,18,1000,0.03500000000000003
static,18,1500,0.06499999999999995
static,18,2000,0.06499999999999995
static,18,3000,0.05500000000000005
static,18,4000,0.03500000000000003
static,18,5000,0.025000000000000022
static,19,500,-0.0050000000000000044
static,19,1000,-0.029999999999999916
static,19,1500,0.010000000000000009
static,19,2000,0.0050000000000000044
static,19,3000,0.0
static,19,4000,-0.020000000000000018
static,19,5000,-0.015000000000000013
