seed,noise,bl_gain,e1_gain_logprod,residual
0,0.1,0.07499998807907104,0.014999985694885254,0.06000000238418579
0,0.3,0.11500000953674316,0.050000011920928955,0.06499999761581421
0,0.5,0.1850000023841858,0.12000000476837158,0.06499999761581421
0,0.7,0.18000000715255737,0.1899999976158142,-0.009999990463256836
0,1.0,0.10499995946884155,0.17499995231628418,-0.06999999284744263
1,0.1,-0.11000001430511475,0.0,-0.11000001430511475
1,0.3,-0.004999995231628418,0.12000000476837158,-0.125
1,0.5,0.07999998331069946,0.1799999475479126,-0.09999996423721313
1,0.7,0.050000011920928955,0.1499999761581421,-0.09999996423721313
1,1.0,0.050000011920928955,0.12000000476837158,-0.06999999284744263
2,0.1,0.0,0.0,0.0
2,0.3,0.004999995231628418,0.009999990463256836,-0.004999995231628418
2,0.5,0.10500001907348633,0.12000000476837158,-0.014999985694885254
2,0.7,0.12000000476837158,0.17000001668930054,-0.050000011920928955
2,1.0,0.09500002861022949,0.18000000715255737,-0.08499997854232788
3,0.1,0.050000011920928955,0.02499997615814209,0.025000035762786865
3,0.3,0.1850000023841858,0.039999961853027344,0.14500004053115845
3,0.5,0.26499998569488525,0.0899999737739563,0.17500001192092896
3,0.7,0.24000000953674316,0.05500000715255737,0.1850000023841858
3,1.0,0.07500001788139343,0.10999998450279236,-0.034999966621398926
4,0.1,0.029999971389770508,0.019999980926513672,0.009999990463256836
4,0.3,0.10000002384185791,0.025000035762786865,0.07499998807907104
4,0.5,0.1850000023841858,0.11500000953674316,0.06999999284744263
4,0.7,0.14499998092651367,0.06999999284744263,0.07499998807907104
4,1.0,0.050000011920928955,0.06499999761581421,-0.014999985694885254
5,0.1,0.0,0.0,0.0
5,0.3,0.06000000238418579,0.06000000238418579,0.0
5,0.5,0.20000004768371582,0.17000001668930054,0.030000030994415283
5,0.7,0.18000000715255737,0.1600000262260437,0.019999980926513672
5,1.0,0.15000000596046448,0.17499998211860657,-0.02499997615814209
6,0.1,0.0,0.0,0.0
6,0.3,0.09500002861022949,0.09500002861022949,0.0
6,0.5,0.12999999523162842,0.12000000476837158,0.009999990463256836
6,0.7,0.18000000715255737,0.16999995708465576,0.010000050067901611
6,1.0,0.12999999523162842,0.125,0.004999995231628418
7,0.1,0.0350000262260437,0.0,0.0350000262260437
7,0.3,0.06999999284744263,0.009999990463256836,0.06000000238418579
7,0.5,0.10499998927116394,0.12000003457069397,-0.01500004529953003
7,0.7,0.12499997019767761,0.16999998688697815,-0.04500001668930054
7,1.0,0.06999999284744263,0.12000000476837158,-0.050000011920928955
8,0.1,-0.009999990463256836,0.0,-0.009999990463256836
8,0.3,0.019999980926513672,0.08499997854232788,-0.06499999761581421
8,0.5,0.125,0.18000000715255737,-0.05500000715255737
8,0.7,0.15999996662139893,0.15999996662139893,0.0
8,1.0,0.1499999761581421,0.13999998569488525,0.009999990463256836
9,0.1,-0.019999980926513672,0.009999990463256836,-0.029999971389770508
9,0.3,-0.039999961853027344,0.0350000262260437,-0.07499998807907104
9,0.5,0.04499995708465576,0.125,-0.08000004291534424
9,0.7,0.04000002145767212,0.17500001192092896,-0.13499999046325684
9,1.0,0.025000035762786865,0.1600000262260437,-0.13499999046325684
10,0.1,0.0,0.0,0.0
10,0.3,0.04500001668930054,0.06499999761581421,-0.019999980926513672
10,0.5,0.18000000715255737,0.16500002145767212,0.014999985694885254
10,0.7,0.24000000953674316,0.21500003337860107,0.02499997615814209
10,1.0,0.2600000202655792,0.22499999403953552,0.0350000262260437
11,0.1,0.0,0.0,0.0
11,0.3,0.06499999761581421,0.06000000238418579,0.004999995231628418
11,0.5,0.14499998092651367,0.1549999713897705,-0.009999990463256836
11,0.7,0.15999996662139893,0.16500002145767212,-0.005000054836273193
11,1.0,0.13499999046325684,0.09499996900558472,0.04000002145767212
12,0.1,0.0,0.0,0.0
12,0.3,0.029999971389770508,0.02499997615814209,0.004999995231628418
12,0.5,0.13999998569488525,0.1549999713897705,-0.014999985694885254
12,0.7,0.15000003576278687,0.17000001668930054,-0.019999980926513672
12,1.0,0.10000002384185791,0.15500003099441528,-0.05500000715255737
13,0.1,0.025000035762786865,0.0,0.025000035762786865
13,0.3,0.13999998569488525,0.11000001430511475,0.029999971389770508
13,0.5,0.12000000476837158,0.13999998569488525,-0.019999980926513672
13,0.7,0.13499999046325684,0.19999998807907104,-0.06499999761581421
13,1.0,0.10499998927116394,0.19499996304512024,-0.0899999737739563
14,0.1,0.0,0.0,0.0
14,0.3,0.04000002145767212,0.04000002145767212,0.0
14,0.5,0.12000000476837158,0.1549999713897705,-0.034999966621398926
14,0.7,0.17500001192092896,0.25,-0.07499998807907104
14,1.0,0.1199999749660492,0.23499998450279236,-0.11500000953674316
15,0.1,-0.10000002384185791,0.050000011920928955,-0.15000003576278687
15,0.3,0.08499997854232788,0.07499998807907104,0.009999990463256836
15,0.5,0.14499998092651367,0.12000000476837158,0.02499997615814209
15,0.7,0.12000000476837158,0.19499999284744263,-0.07499998807907104
15,1.0,0.11000001430511475,0.12000000476837158,-0.009999990463256836
16,0.1,0.0,0.0,0.0
16,0.3,0.07499998807907104,0.06000000238418579,0.014999985694885254
16,0.5,0.125,0.11500000953674316,0.009999990463256836
16,0.7,0.125,0.125,0.0
16,1.0,0.10000002384185791,0.09500002861022949,0.004999995231628418
17,0.1,0.04000002145767212,0.030000030994415283,0.009999990463256836
17,0.3,0.18000000715255737,0.125,0.05500000715255737
17,0.5,0.27500003576278687,0.15000003576278687,0.125
17,0.7,0.2549999952316284,0.125,0.12999999523162842
17,1.0,0.16999998688697815,0.09999999403953552,0.06999999284744263
18,0.1,0.0,0.0,0.0
18,0.3,0.06499999761581421,0.05500000715255737,0.009999990463256836
18,0.5,0.10500001907348633,0.20499998331069946,-0.09999996423721313
18,0.7,0.10500001907348633,0.17500001192092896,-0.06999999284744263
18,1.0,0.10000002384185791,0.15000003576278687,-0.050000011920928955
19,0.1,0.0,0.0,0.0
19,0.3,0.0350000262260437,0.04000002145767212,-0.004999995231628418
19,0.5,0.1899999976158142,0.13999998569488525,0.050000011920928955
19,0.7,0.18000000715255737,0.15999996662139893,0.020000040531158447
19,1.0,0.125,0.11500000953674316,0.009999990463256836
